total_rewards_0
17.08
17.3
18.58
19.54
17.8
19.44
17.76
18.26
22.08
19.06
19.64
18.86
18.36
20.74
19.48
22.42
21.16
21.96
25.84
24.62
22.32
21.48
23.9
27.08
25.44
24.52
28.12
22.7
26.24
30.16
26.2
32.44
24.64
29.08
29.46
29.9
29.48
36.76
37.4
33.86
32.88
40.1
40.48
38.02
41.36
42.08
37.72
40.04
42.52
40.0
42.52
49.3
47.38
47.16
51.16
50.74
61.0
52.12
49.22
57.38
65.48
67.34
54.46
61.84
64.98
66.4
78.72
69.6
70.84
70.94
84.5
82.72
87.02
91.16
94.72
96.3
114.34
125.7
109.58
119.68
106.54
127.28
117.98
129.16
133.62
135.88
124.92
137.72
139.5
133.64
136.74
163.1
159.6
145.54
155.24
164.62
166.78
163.38
152.52
159.26
176.28
184.28
172.5
180.72
169.84
188.46
189.28
180.84
183.76
181.38
184.82
189.72
187.52
187.56
189.16
190.62
192.14
189.06
192.88
186.02
192.7
190.86
194.72
191.64
193.82
185.98
192.44
192.54
192.02
192.96
188.32
188.44
191.16
194.88
190.3
189.4
187.46
195.38
192.2
190.68
190.8
190.08
192.72
191.36
192.1
197.18
196.5
197.62
195.76
194.88
198.32
195.36
196.94
198.34
198.28
195.06
197.68
198.86
195.56
194.48
196.04
196.22
196.48
194.56
196.96
199.1
198.96
197.86
193.52
195.76
192.88
196.34
195.34
197.12
198.02
196.74
199.16
199.54
197.6
196.66
197.58
198.5
199.34
195.26
198.04
192.82
199.24
195.14
199.34
199.3
197.02
197.88
195.84
200.0
197.04
194.6
196.36
199.64
199.88
198.72
