total_rewards_0
17.84
21.68
18.62
22.56
21.98
23.7
20.18
22.08
23.1
24.7
22.98
22.68
29.52
24.74
23.82
26.46
25.96
23.36
29.02
28.06
28.72
27.76
29.76
27.82
34.52
31.6
32.84
31.96
35.14
39.52
36.02
33.72
40.92
36.6
37.82
36.58
37.02
35.8
45.48
38.54
37.96
39.1
34.28
43.48
51.0
39.16
46.54
37.9
46.24
48.64
45.82
42.6
48.02
44.32
50.0
45.26
53.28
43.74
50.54
48.78
51.28
51.36
52.12
51.76
53.58
54.9
52.28
49.42
48.06
58.88
54.16
60.1
53.06
59.22
62.44
55.94
65.02
61.34
62.44
60.46
64.84
62.46
63.36
60.3
70.86
75.48
79.42
71.34
83.1
78.98
97.18
79.14
85.24
97.7
98.28
112.42
115.88
113.56
121.2
102.54
118.2
139.34
128.32
141.12
141.96
151.32
145.58
148.5
148.54
157.8
156.42
156.34
170.44
164.8
178.28
174.76
172.44
168.58
170.64
176.26
172.02
174.88
178.52
180.76
178.88
179.86
186.06
177.22
185.28
184.94
178.92
186.68
187.76
191.48
187.88
192.7
187.96
194.48
185.26
188.68
185.08
196.76
192.3
194.02
194.46
189.52
190.26
192.46
194.44
193.78
194.72
191.44
189.94
197.82
194.98
195.28
192.54
193.94
197.68
192.92
194.2
194.04
198.7
192.38
188.04
196.86
196.7
198.02
191.98
196.5
196.04
193.96
199.14
193.68
195.6
193.8
197.2
194.0
196.8
196.22
194.34
195.78
192.8
198.88
195.96
198.88
198.84
198.84
197.54
195.4
192.52
199.18
195.88
197.34
200.0
196.84
197.54
191.52
199.62
196.48
